customer_id,first_name,last_name,city,signup_date,total_orders,lifetime_spend,confirmed_paid,last_order_date
C00206,Nikhil,Verma,Kolkata,2023-12-18,12,1002073.6499999998,2229240.3000000003,2024-12-24
C00317,Tara,Mehta,Delhi,2024-01-24,15,981534.47,2447006.73,2024-11-18
C00276,Diya,Patel,Ahmedabad,2024-12-31,11,953334.6000000002,2235037.1399999997,2024-09-12
C00176,Arjun,Reddy,Chennai,2024-04-07,12,935784.1599999999,2400011.0600000005,2024-09-24
C00114,Vihaan,Chatterjee,Jaipur,2024-10-02,10,923597.0599999999,1207387.5599999998,2024-11-03
C00154,Riya,Chatterjee,Mumbai,2023-10-30,10,912847.4000000001,1556159.3299999998,2024-09-06
C00349,Aditya,Malhotra,Kolkata,2023-02-13,13,903888.8099999999,1998137.7599999998,2024-12-30
C00041,Sara,Gupta,Bengaluru,2024-02-10,12,877707.3600000001,2289192.4,2024-11-25
C00307,Arjun,Chatterjee,Jaipur,2023-09-11,12,871851.51,1146052.58,2024-11-20
C00354,Sara,Joshi,Chennai,2023-03-19,12,859353.6400000001,2358209.8000000007,2024-12-13
C00189,Aditya,Verma,Kolkata,2023-12-20,15,842196.2599999999,2316637.6899999995,2024-07-17
C00194,Tara,Das,Hyderabad,2024-02-19,14,836095.4199999995,2305480.8000000007,2024-11-04
C00092,Riya,Verma,Mumbai,2024-03-19,10,822723.8699999999,2919665.3800000013,2024-11-24
C00316,Sara,Joshi,Jaipur,2023-01-04,10,808771.32,2512439.4,2024-08-01
C00069,Dev,Iyer,Bengaluru,2023-06-01,14,807862.8299999998,2001109.11,2024-11-07
C00216,Kabir,Patel,Bhubaneswar,2023-07-05,11,807396.8300000001,2262427.5500000007,2024-12-12
C00070,Tara,Iyer,Bengaluru,2023-06-30,12,784119.9,1870749.2700000003,2024-11-02
C00380,Riya,Nair,Bengaluru,2024-05-02,9,781346.8400000001,2215656.3500000006,2024-12-11
C00174,Rahul,Mehta,Kolkata,2024-12-30,9,777821.24,1681611.7200000007,2024-06-30
C00321,Kabir,Mehta,Ahmedabad,2023-10-24,12,776166.8099999999,1878902.9899999998,2024-12-27
C00211,Kabir,Das,Hyderabad,2024-12-26,14,774955.49,1892253.09,2024-10-02
C00393,Aditya,Kapoor,Kolkata,2024-05-21,11,773664.7299999999,2464852.32,2024-07-14
C00305,Isha,Kapoor,Kolkata,2023-10-30,9,772355.05,1472515.25,2024-11-20
C00361,Dev,Sharma,Jaipur,2023-10-26,12,767112.55,2568685.7600000002,2024-09-08
C00012,Vihaan,Verma,Kolkata,2023-08-05,14,766051.2599999999,1860497.5200000003,2024-12-20
C00171,Pooja,Sharma,Bhubaneswar,2024-11-05,8,761532.5499999998,1752255.8399999999,2024-10-30
C00222,Anaya,Verma,Chennai,2023-06-14,9,759623.54,2102903.2500000005,2024-07-09
