order_id,order_date,status,customer_id,first_name,last_name,city
O000853,2023-01-01,Shipped,C00201,Karan,Joshi,Pune
O002526,2023-01-01,Delivered,C00072,Pooja,Joshi,Mumbai
O000791,2023-01-01,Delivered,C00222,Anaya,Verma,Chennai
O001914,2023-01-01,Delivered,C00297,Anaya,Das,Jaipur
O002983,2023-01-01,Delivered,C00292,Sara,Kapoor,Bengaluru
O002414,2023-01-01,Cancelled,C00374,Sneha,Sharma,Delhi
O001450,2023-01-01,Delivered,C00153,Arjun,Patel,Pune
O001320,2023-01-02,Returned,C00326,Riya,Iyer,Bhubaneswar
O000515,2023-01-02,Cancelled,C00328,Karan,Kapoor,Delhi
O002355,2023-01-02,Placed,C00232,Sneha,Mehta,Chennai
O001920,2023-01-02,Returned,C00315,Kabir,Kapoor,Mumbai
O002611,2023-01-03,Delivered,C00077,Tara,Reddy,Kolkata
O002815,2023-01-03,Delivered,C00218,Sara,Mehta,Delhi
O001097,2023-01-03,Shipped,C00253,Aarav,Nair,Mumbai
O001054,2023-01-03,Delivered,C00381,Anaya,Sharma,Mumbai
O001454,2023-01-03,Delivered,C00001,Isha,Sharma,Jaipur
O001855,2023-01-04,Shipped,C00076,Arjun,Verma,Delhi
O001241,2023-01-04,Delivered,C00113,Sara,Gupta,Delhi
O000478,2023-01-04,Returned,C00370,Meera,Kapoor,Delhi
O002604,2023-01-04,Cancelled,C00264,Riya,Iyer,Mumbai
O001159,2023-01-04,Delivered,C00088,Anaya,Verma,Chennai
O001130,2023-01-05,Delivered,C00374,Sneha,Sharma,Delhi
O000041,2023-01-05,Shipped,C00321,Kabir,Mehta,Ahmedabad
O001441,2023-01-05,Delivered,C00069,Dev,Iyer,Bengaluru
O000360,2023-01-05,Delivered,C00293,Kabir,Sharma,Delhi
O000038,2023-01-06,Delivered,C00395,Vihaan,Iyer,Kolkata
O000541,2023-01-06,Delivered,C00008,Sara,Joshi,Mumbai
O000323,2023-01-06,Shipped,C00243,Priya,Das,Bengaluru
O000195,2023-01-06,Returned,C00279,Aarav,Nair,Bhubaneswar
O000290,2023-01-07,Cancelled,C00197,Sara,Nair,Delhi
O000528,2023-01-07,Cancelled,C00102,Karan,Verma,Ahmedabad
O000576,2023-01-07,Cancelled,C00382,Sara,Mehta,Kolkata
O001253,2023-01-07,Cancelled,C00306,Kabir,Singh,Jaipur
O000530,2023-01-07,Delivered,C00116,Pooja,Rao,Chennai
O002945,2023-01-07,Delivered,C00139,Dev,Nair,Delhi
O001289,2023-01-08,Delivered,C00384,Aarav,Rao,Delhi
O000418,2023-01-08,Delivered,C00186,Aditya,Iyer,Hyderabad
O002145,2023-01-08,Delivered,C00326,Riya,Iyer,Bhubaneswar
O000868,2023-01-08,Returned,C00133,Sneha,Reddy,Chennai
O001344,2023-01-08,Delivered,C00222,Anaya,Verma,Chennai
O002310,2023-01-09,Delivered,C00289,Priya,Chatterjee,Kolkata
O002658,2023-01-09,Returned,C00204,Dev,Singh,Kolkata
O002180,2023-01-09,Delivered,C00104,Anaya,Sharma,Jaipur
O001287,2023-01-09,Placed,C00392,Pooja,Sharma,Jaipur
O000070,2023-01-09,Delivered,C00007,Priya,Das,Bengaluru
O000470,2023-01-09,Cancelled,C00113,Sara,Gupta,Delhi
O000319,2023-01-10,Delivered,C00356,Sneha,Reddy,Ahmedabad
O002837,2023-01-10,Delivered,C00122,Karan,Reddy,Jaipur
O001982,2023-01-11,Shipped,C00364,Rohan,Nair,Delhi
O000757,2023-01-11,Placed,C00046,Sneha,Patel,Pune
O002291,2023-01-11,Delivered,C00166,Sneha,Iyer,Mumbai
O001114,2023-01-11,Cancelled,C00068,Rohan,Singh,Kolkata
O000417,2023-01-11,Delivered,C00357,Anaya,Chatterjee,Mumbai
O002626,2023-01-11,Shipped,C00034,Meera,Reddy,Mumbai
O002267,2023-01-12,Returned,C00328,Karan,Kapoor,Delhi
O001437,2023-01-12,Delivered,C00087,Priya,Patel,Mumbai
O002488,2023-01-12,Shipped,C00044,Sneha,Rao,Bhubaneswar
O000815,2023-01-12,Placed,C00108,Kabir,Patel,Chennai
O000109,2023-01-12,Delivered,C00316,Sara,Joshi,Jaipur
O000169,2023-01-13,Returned,C00254,Pooja,Malhotra,Jaipur
O002444,2023-01-13,Delivered,C00169,Karan,Sharma,Bengaluru
O002332,2023-01-13,Shipped,C00174,Rahul,Mehta,Kolkata
O000444,2023-01-13,Placed,C00077,Tara,Reddy,Kolkata
O000514,2023-01-14,Delivered,C00348,Rohan,Singh,Bengaluru
O000219,2023-01-14,Delivered,C00152,Priya,Rao,Mumbai
O002115,2023-01-14,Delivered,C00356,Sneha,Reddy,Ahmedabad
O000607,2023-01-14,Delivered,C00209,Karan,Verma,Ahmedabad
O001535,2023-01-14,Cancelled,C00142,Anaya,Nair,Mumbai
O001339,2023-01-14,Delivered,C00114,Vihaan,Chatterjee,Jaipur
O002839,2023-01-14,Cancelled,C00128,Isha,Singh,Pune
O001120,2023-01-14,Placed,C00288,Sneha,Malhotra,Chennai
O000114,2023-01-15,Delivered,C00326,Riya,Iyer,Bhubaneswar
O002013,2023-01-15,Delivered,C00055,Arjun,Joshi,Delhi
O002674,2023-01-16,Delivered,C00353,Karan,Reddy,Chennai
O001103,2023-01-16,Returned,C00057,Priya,Kapoor,Bhubaneswar
O002826,2023-01-16,Cancelled,C00366,Dev,Chatterjee,Ahmedabad
O000972,2023-01-16,Delivered,C00338,Nikhil,Patel,Jaipur
O002350,2023-01-17,Delivered,C00216,Kabir,Patel,Bhubaneswar
O001082,2023-01-17,Delivered,C00343,Sneha,Gupta,Mumbai
O002146,2023-01-17,Delivered,C00199,Pooja,Patel,Kolkata
O001924,2023-01-17,Shipped,C00338,Nikhil,Patel,Jaipur
O002483,2023-01-17,Shipped,C00162,Vihaan,Sharma,Hyderabad
O000052,2023-01-17,Delivered,C00267,Isha,Gupta,Chennai
O001319,2023-01-17,Delivered,C00021,Aarav,Das,Pune
O000740,2023-01-18,Delivered,C00330,Sneha,Iyer,Bhubaneswar
O001778,2023-01-18,Delivered,C00314,Tara,Nair,Jaipur
O000453,2023-01-18,Delivered,C00245,Diya,Patel,Ahmedabad
