customer_id,first_name,last_name,city,lifetime_value
C00318,Isha,Sharma,Bengaluru,1002073.65
C00036,Sneha,Kapoor,Ahmedabad,892637.96
C00154,Riya,Chatterjee,Mumbai,877707.36
C00145,Nikhil,Malhotra,Ahmedabad,835995.7
C00319,Isha,Das,Delhi,807862.83
C00365,Nikhil,Verma,Ahmedabad,797272.52
C00046,Sneha,Patel,Pune,773664.73
C00320,Diya,Reddy,Bhubaneswar,769336.45
C00240,Priya,Malhotra,Chennai,758980.35
C00215,Aditya,Sharma,Chennai,739697.81
C00138,Pooja,Rao,Jaipur,723128.75
C00346,Sara,Gupta,Bengaluru,714561.28
C00185,Rahul,Kapoor,Bengaluru,710308.33
C00285,Aditya,Reddy,Hyderabad,703022.72
C00381,Anaya,Sharma,Mumbai,702895.37
C00349,Aditya,Malhotra,Kolkata,696184.17
C00011,Sara,Kapoor,Chennai,693049.1
C00083,Karan,Nair,Bengaluru,691235.33
C00253,Aarav,Nair,Mumbai,677932.45
C00210,Kabir,Nair,Chennai,677797.55
C00359,Isha,Patel,Chennai,673643.27
C00316,Sara,Joshi,Jaipur,648386.48
C00332,Pooja,Rao,Pune,634694.1
C00148,Aarav,Joshi,Bhubaneswar,624064.14
C00321,Kabir,Mehta,Ahmedabad,621793.64
C00040,Rahul,Das,Hyderabad,621201.76
C00304,Diya,Kapoor,Pune,619564.65
C00197,Sara,Nair,Delhi,618850.12
C00386,Priya,Nair,Jaipur,617316.43
C00391,Meera,Mehta,Kolkata,616466.89
C00133,Sneha,Reddy,Chennai,610979.4
C00137,Tara,Joshi,Hyderabad,605854.11
C00079,Pooja,Malhotra,Chennai,605301.94
C00103,Aditya,Das,Mumbai,604686.72
C00004,Vihaan,Chatterjee,Delhi,603765.98
C00192,Meera,Patel,Hyderabad,603059.1
C00271,Riya,Das,Chennai,597279.7
C00120,Aditya,Kapoor,Kolkata,593418.75
C00044,Sneha,Rao,Bhubaneswar,589479.76
C00360,Isha,Sharma,Hyderabad,582166.31
C00141,Nikhil,Patel,Bhubaneswar,578514.44
C00001,Isha,Sharma,Jaipur,576297.74
C00087,Priya,Patel,Mumbai,572442.91
C00167,Pooja,Sharma,Mumbai,567200.37
C00024,Pooja,Reddy,Pune,564935.47
C00168,Isha,Kapoor,Ahmedabad,562431.56
C00117,Vihaan,Mehta,Chennai,554031.78
C00018,Anaya,Reddy,Pune,553897.16
C00219,Priya,Kapoor,Jaipur,550456.39
C00375,Priya,Patel,Chennai,542024.82
C00181,Arjun,Patel,Jaipur,541406.87
C00042,Aarav,Singh,Jaipur,537681.26
C00358,Dev,Nair,Pune,536378.04
C00100,Rahul,Nair,Jaipur,536240.33
C00282,Kabir,Joshi,Bhubaneswar,535204.44
C00251,Priya,Rao,Mumbai,534071.25
C00039,Dev,Verma,Chennai,533165.0
C00188,Vihaan,Singh,Delhi,531430.53
C00135,Dev,Kapoor,Ahmedabad,529002.06
C00235,Nikhil,Rao,Kolkata,525424.79
C00194,Tara,Das,Hyderabad,524078.89
C00232,Sneha,Mehta,Chennai,520134.45
C00206,Nikhil,Verma,Kolkata,517652.56
