customer_id,first_name,last_name,email,phone,city,signup_date
C00262,Rohan,Sharma,rohan.sharma262@example.com,9326353775.0,Chennai,2024-10-18
C00229,Nikhil,Verma,nikhil.verma229@example.com,9117647321.0,Ahmedabad,2023-04-24
C00214,Arjun,Iyer,arjun.iyer214@example.com,9946237594.0,Jaipur,2023-05-21
C00243,Priya,Das,priya.das243@example.com,9949842840.0,Bengaluru,2024-03-21
C00057,Priya,Kapoor,priya.kapoor57@example.com,9675757257.0,Bhubaneswar,2024-06-05
C00348,Rohan,Singh,rohan.singh348@example.com,9707583925.0,Bengaluru,2024-03-20
C00125,Aditya,Nair,aditya.nair125@example.com,UNKNOWN,Pune,2024-09-29
C00088,Anaya,Verma,anaya.verma88@example.com,9718257024.0,Chennai,2024-08-15
C00199,Pooja,Patel,pooja.patel199@example.com,9929839316.0,Kolkata,2024-11-02
C00223,Rohan,Malhotra,rohan.malhotra223@example.com,9128636900.0,Chennai,2023-08-16
C00394,Riya,Patel,UNKNOWN,9917178325.0,Bhubaneswar,2023-03-26
C00212,Kabir,Kapoor,kabir.kapoor212@example.com,9819896690.0,Hyderabad,2024-12-20
C00388,Pooja,Patel,pooja.patel388@example.com,9733688460.0,Mumbai,2024-11-20
C00090,Anaya,Joshi,anaya.joshi90@example.com,9954942461.0,Bhubaneswar,2024-12-01
C00149,Pooja,Rao,pooja.rao149@example.com,9347087743.0,Hyderabad,2024-05-23
C00091,Priya,Mehta,priya.mehta91@example.com,9795294275.0,Chennai,2024-03-14
C00268,Pooja,Reddy,pooja.reddy268@example.com,9720286733.0,Delhi,2023-09-12
C00258,Kabir,Gupta,kabir.gupta258@example.com,9861639583.0,Jaipur,2023-06-18
C00330,Sneha,Iyer,sneha.iyer330@example.com,9457517705.0,Bhubaneswar,2024-05-05
C00270,Dev,Mehta,dev.mehta270@example.com,UNKNOWN,Pune,2024-04-13
C00283,Nikhil,Nair,nikhil.nair283@example.com,9318927025.0,Ahmedabad,2024-03-04
C00098,Sara,Rao,sara.rao98@example.com,9358045858.0,Kolkata,2024-02-21
C00013,Dev,Malhotra,dev.malhotra13@example.com,9249926919.0,Jaipur,2024-10-20
C00222,Anaya,Verma,anaya.verma222@example.com,9651208305.0,Chennai,2023-06-14
C00263,Pooja,Kapoor,pooja.kapoor263@example.com,9685809361.0,Pune,2023-02-01
C00058,Isha,Malhotra,isha.malhotra58@example.com,UNKNOWN,Ahmedabad,2023-09-25
C00372,Kabir,Kapoor,kabir.kapoor372@example.com,9265510032.0,Chennai,2023-11-07
C00190,Aditya,Kapoor,aditya.kapoor190@example.com,UNKNOWN,Delhi,2023-11-12
C00260,Pooja,Mehta,pooja.mehta260@example.com,9735449477.0,Mumbai,2023-04-06
C00282,Kabir,Joshi,UNKNOWN,9852178601.0,Bhubaneswar,2024-11-28
C00239,Dev,Rao,dev.rao239@example.com,9300593456.0,Kolkata,2024-03-26
C00119,Rahul,Sharma,rahul.sharma119@example.com,9919382051.0,Kolkata,2024-11-19
C00340,Tara,Patel,tara.patel340@example.com,UNKNOWN,Jaipur,2024-10-07
C00237,Aditya,Reddy,aditya.reddy237@example.com,9908839964.0,Pune,2024-07-10
C00309,Rahul,Mehta,rahul.mehta309@example.com,9658712474.0,Delhi,2023-06-03
C00382,Sara,Mehta,sara.mehta382@example.com,9701133236.0,Kolkata,2023-06-28
C00137,Tara,Joshi,tara.joshi137@example.com,9939156387.0,Hyderabad,2024-11-01
C00368,Dev,Nair,dev.nair368@example.com,9718345671.0,Hyderabad,2023-10-26
C00351,Karan,Sharma,karan.sharma351@example.com,9981209973.0,Chennai,2023-08-01
C00353,Karan,Reddy,karan.reddy353@example.com,UNKNOWN,Chennai,2023-05-24
C00297,Anaya,Das,anaya.das297@example.com,9459748735.0,Jaipur,2024-09-09
C00269,Meera,Singh,meera.singh269@example.com,9431292818.0,Bengaluru,2024-06-11
C00362,Sara,Das,sara.das362@example.com,9282001119.0,Pune,2024-06-17
C00115,Sara,Kapoor,sara.kapoor115@example.com,UNKNOWN,Pune,2023-06-02
C00286,Vihaan,Das,vihaan.das286@example.com,9399580835.0,Delhi,2024-05-10
C00301,Aditya,Nair,aditya.nair301@example.com,9298407302.0,Kolkata,2023-03-30
C00105,Anaya,Rao,anaya.rao105@example.com,9627076988.0,Bhubaneswar,2023-05-10
C00148,Aarav,Joshi,aarav.joshi148@example.com,9707661655.0,Bhubaneswar,2024-11-05
C00276,Diya,Patel,diya.patel276@example.com,9657629251.0,Ahmedabad,2024-12-31
C00248,Aarav,Rao,aarav.rao248@example.com,9703091482.0,Pune,2023-07-10
C00219,Priya,Kapoor,priya.kapoor219@example.com,9402550088.0,Jaipur,2024-08-07
C00242,Anaya,Singh,anaya.singh242@example.com,9576642996.0,Bhubaneswar,2024-09-09
C00265,Nikhil,Reddy,nikhil.reddy265@example.com,9751396498.0,Hyderabad,2024-05-10
C00255,Tara,Chatterjee,tara.chatterjee255@example.com,9440405868.0,Kolkata,2024-02-24
C00241,Pooja,Joshi,pooja.joshi241@example.com,9210163669.0,Pune,2023-07-04
C00126,Sneha,Patel,sneha.patel126@example.com,9620455331.0,Ahmedabad,2023-10-22
C00077,Tara,Reddy,tara.reddy77@example.com,9922050912.0,Kolkata,2024-08-21
C00055,Arjun,Joshi,arjun.joshi55@example.com,9953995721.0,Delhi,2024-04-16
C00352,Rohan,Gupta,rohan.gupta352@example.com,9996199211.0,Jaipur,2023-06-16
C00294,Anaya,Nair,anaya.nair294@example.com,9925412179.0,Ahmedabad,2023-10-20
C00374,Sneha,Sharma,sneha.sharma374@example.com,9191248659.0,Delhi,2024-01-04
C00345,Priya,Gupta,priya.gupta345@example.com,9535968611.0,Delhi,2024-02-11
C00378,Aditya,Patel,aditya.patel378@example.com,9417217932.0,Bengaluru,2023-12-20
C00287,Anaya,Chatterjee,anaya.chatterjee287@example.com,9625063062.0,Hyderabad,2023-10-23
C00170,Rohan,Singh,rohan.singh170@example.com,9217095851.0,Delhi,2024-04-04
C00150,Sara,Kapoor,sara.kapoor150@example.com,9911294971.0,Mumbai,2023-07-14
C00218,Sara,Mehta,sara.mehta218@example.com,9942211135.0,Delhi,2023-09-02
C00395,Vihaan,Iyer,vihaan.iyer395@example.com,9591045102.0,Kolkata,2024-07-04
C00132,Rahul,Kapoor,rahul.kapoor132@example.com,9620057604.0,Jaipur,2024-05-16
C00257,Meera,Chatterjee,meera.chatterjee257@example.com,9159499094.0,Jaipur,2023-05-13
C00079,Pooja,Malhotra,pooja.malhotra79@example.com,9567975319.0,Chennai,2023-08-14
C00192,Meera,Patel,meera.patel192@example.com,9637152602.0,Hyderabad,2024-01-25
C00083,Karan,Nair,karan.nair83@example.com,9993271900.0,Bengaluru,2024-01-24
C00076,Arjun,Verma,arjun.verma76@example.com,9600282414.0,Delhi,2024-02-29
C00114,Vihaan,Chatterjee,vihaan.chatterjee114@example.com,9312406764.0,Jaipur,2024-10-02
C00314,Tara,Nair,tara.nair314@example.com,9505333621.0,Jaipur,2024-01-27
C00231,Tara,Patel,tara.patel231@example.com,UNKNOWN,Jaipur,2024-11-11
C00392,Pooja,Sharma,pooja.sharma392@example.com,9309517616.0,Jaipur,2024-01-03
C00400,Pooja,Patel,pooja.patel400@example.com,9712112671.0,Pune,2023-07-31
C00038,Meera,Sharma,meera.sharma38@example.com,9173574218.0,Delhi,2024-06-04
C00026,Sara,Verma,sara.verma26@example.com,9347083812.0,Bhubaneswar,2023-12-13
C00145,Nikhil,Malhotra,nikhil.malhotra145@example.com,9574303740.0,Ahmedabad,2023-10-22
C00379,Isha,Joshi,isha.joshi379@example.com,9588909690.0,Jaipur,2023-05-26
C00385,Arjun,Gupta,arjun.gupta385@example.com,9958459117.0,Mumbai,2024-12-21
C00124,Aditya,Joshi,aditya.joshi124@example.com,9596043327.0,Delhi,2023-01-02
C00335,Rahul,Joshi,UNKNOWN,9694113766.0,Ahmedabad,2023-08-15
C00111,Arjun,Kapoor,arjun.kapoor111@example.com,9268638768.0,Jaipur,2023-08-05
C00393,Aditya,Kapoor,aditya.kapoor393@example.com,9546279777.0,Kolkata,2024-05-21
C00315,Kabir,Kapoor,kabir.kapoor315@example.com,9676876906.0,Mumbai,2023-12-23
C00060,Arjun,Gupta,UNKNOWN,9965984448.0,Delhi,2023-02-15
C00087,Priya,Patel,priya.patel87@example.com,9871330207.0,Mumbai,2024-09-12
C00278,Rahul,Nair,rahul.nair278@example.com,9861003571.0,Kolkata,2024-06-03
C00006,Nikhil,Mehta,nikhil.mehta6@example.com,9414797776.0,Ahmedabad,2023-05-08
C00160,Isha,Iyer,isha.iyer160@example.com,9498370582.0,Jaipur,2024-07-04
C00338,Nikhil,Patel,nikhil.patel338@example.com,9686849648.0,Jaipur,2023-12-27
C00122,Karan,Reddy,karan.reddy122@example.com,9529982328.0,Jaipur,2024-12-11
C00007,Priya,Das,UNKNOWN,9344703907.0,Bengaluru,2023-07-16
C00049,Tara,Mehta,tara.mehta49@example.com,9841976666.0,Jaipur,2023-01-10
C00244,Dev,Nair,dev.nair244@example.com,9253308283.0,Kolkata,2024-06-09
C00334,Nikhil,Verma,nikhil.verma334@example.com,9498041381.0,Bhubaneswar,2024-04-25
C00307,Arjun,Chatterjee,arjun.chatterjee307@example.com,9187907572.0,Jaipur,2023-09-11
C00010,Meera,Mehta,meera.mehta10@example.com,9389854268.0,Jaipur,2023-09-08
C00035,Dev,Sharma,dev.sharma35@example.com,9943026227.0,Chennai,2024-02-04
C00195,Meera,Chatterjee,meera.chatterjee195@example.com,9488536370.0,Bengaluru,2024-09-24
C00386,Priya,Nair,priya.nair386@example.com,9820160169.0,Jaipur,2023-07-21
C00113,Sara,Gupta,sara.gupta113@example.com,UNKNOWN,Delhi,2024-12-24
C00032,Tara,Patel,tara.patel32@example.com,9180943908.0,Jaipur,2023-10-13
C00188,Vihaan,Singh,vihaan.singh188@example.com,9574641329.0,Delhi,2024-11-08
C00256,Nikhil,Kapoor,nikhil.kapoor256@example.com,9990189659.0,Ahmedabad,2024-06-13
C00054,Vihaan,Patel,vihaan.patel54@example.com,9141580226.0,Delhi,2024-12-19
