user_id,transaction_date,region,product_category,sale_amount,age,subscription,city,email,username,price,store_id,status,raw_timestamp
U1330,10/11/2024,East,Clothing,199.46,24,Premium,Georgetown,user330@example.com,user_330,689.66,S014,Inactive,2024-10-20 04:00:00
U1369,03/08/2024,North,Groceries,,23,Free,Franklin,user369@example.com,user_369,376.07,S006,Pending,2025-02-04 22:00:00
U1144,2024-06-29,East,Books,96.1,50,Free,Springfield,user144@example.com,user_144,819.82,S002,Active,2024-07-30 04:00:00
U1412,07/28/2024,South,Clothing,356.57,64,Premium,Greenville,user412@example.com,user_412,51.81,S010,Pending,2024-09-09 17:00:00
U1456,2024-08-11,South,Electronics,494.47,51,Basic,Salem,user456@example.com,user_456,132.42,S003,Inactive,2024-05-25 05:00:00
U1145,2024-11-18,West,Books,113.27,45,Basic,Springfield,user145@example.com,user_145,488.37,S016,Active,2024-01-04 17:00:00
U1312,03/19/2024,North,Home & Kitchen,59.68,49,Free,Riverside,user312@example.com,user_312,40.96,S004,,2024-04-08 03:00:00
U1058,02/08/2024,North,Groceries,201.75,21,Basic,Georgetown,user58@example.com,user_58,493.07,S018,Active,2024-11-12 02:00:00
U1485,2024-09-15,South,Books,484.18,48,Free,Riverside,user485@example.com,user_485,,S006,Pending,2024-03-01 19:00:00
U1008,2024-12-14,North,Books,150.28,26,Basic,Springfield,user8@example.com,user_8,505.58,S006,Active,2024-11-16 09:00:00
U1282,11/23/2024,South,Electronics,330.16,67,Free,Clinton,user282@example.com,user_282,701.47,S020,Inactive,2024-12-11 01:00:00
U1198,2024-08-02,East,Books,274.11,17,Basic,Madison,user198@example.com,user_198,569.99,S011,,2024-05-18 05:00:00
U1156,01/04/2024,North,Sports,431.79,44,Basic,Georgetown,user156@example.com,user_156,144.76,S011,Inactive,2024-09-02 10:00:00
U1351,02/17/2024,West,Home & Kitchen,81.27,37,Basic,Clinton,user351@example.com,user_351,823.92,S017,Inactive,2024-04-15 23:00:00
U1288,2024-03-02,South,Sports,,70,Free,Springfield,user288@example.com,user_288,899.14,S019,Pending,2024-09-08 05:00:00
U1352,01/19/2024,South,Books,62.34,35,Premium,Riverside,user352@example.com,user_352,768.52,S010,Active,2024-10-22 09:00:00
U1302,2024-11-16,North,Groceries,268.31,33,Basic,Greenville,user302@example.com,user_302,640.52,S020,,2024-05-19 22:00:00
U1181,05/03/2024,West,Sports,10.97,39,Basic,Franklin,user181@example.com,user_181,550.89,S006,,2025-01-29 02:00:00
U1089,02/13/2024,South,Books,407.53,58,Free,Riverside,user89@example.com,user_89,368.97,S006,Inactive,2024-06-23 15:00:00
U1256,2024-11-10,West,Books,193.78,66,Premium,Georgetown,user256@example.com,user_256,,S017,Pending,2024-09-20 16:00:00
U1232,2025-01-29,West,Books,418.88,19,Free,Riverside,user232@example.com,user_232,479.65,S005,Inactive,2024-12-21 21:00:00
U1081,12/08/2024,West,Home & Kitchen,25.94,17,Basic,Riverside,user81@example.com,user_81,712.4,S014,Pending,2024-02-28 12:00:00
U1212,2024-04-26,South,Sports,270.08,46,Free,Greenville,user212@example.com,user_212,717.16,S017,Inactive,2024-03-02 14:00:00
U1440,2024-06-01,South,Groceries,443.43,41,Free,Franklin,user440@example.com,user_440,129.44,S019,Pending,2024-09-11 02:00:00
U1223,12/30/2024,East,Clothing,123.95,19,Free,Georgetown,user223@example.com,user_223,658.85,S010,Pending,2024-08-02 12:00:00
U1111,01/27/2025,West,Home & Kitchen,275.06,57,Basic,Salem,user111@example.com,user_111,459.01,S002,Inactive,2024-08-13 13:00:00
U1088,2024-06-20,North,Electronics,196.35,32,Free,Franklin,user88@example.com,user_88,356.32,S013,Inactive,2024-10-31 22:00:00
U1251,10/14/2024,East,Sports,400.42,34,Free,Springfield,user251@example.com,user_251,976.06,S011,Active,2024-01-07 23:00:00
U1040,09/24/2024,South,Home & Kitchen,366.86,33,Basic,Greenville,user40@example.com,user_40,251.42,S015,,2024-06-21 00:00:00
U1019,03/21/2024,North,Sports,404.51,49,Premium,Clinton,user19@example.com,user_19,271.82,S004,Inactive,2024-05-19 09:00:00
U1279,10/12/2024,East,Groceries,244.46,35,Free,Madison,user279@example.com,user_279,865.19,S004,Inactive,2024-08-16 22:00:00
U1476,2024-06-20,West,Clothing,210.8,65,Premium,Greenville,user476@example.com,user_476,179.55,S009,Pending,2025-01-01 13:00:00
U1134,07/12/2024,West,Books,437.9,24,Free,Madison,user134@example.com,user_134,136.07,S008,Active,2025-01-22 00:00:00
U1153,01/03/2024,South,Groceries,55.6,21,Premium,Georgetown,user153@example.com,user_153,36.0,S012,Active,2024-11-01 19:00:00
U1271,2024-08-13,East,Electronics,144.0,25,Premium,Franklin,user271@example.com,user_271,238.04,S011,Active,2024-09-03 21:00:00
U1477,2024-07-03,East,Sports,117.95,67,Basic,Georgetown,user477@example.com,user_477,520.99,S012,Active,2024-08-14 04:00:00
U1372,12/27/2024,South,Groceries,435.79,16,Basic,Salem,user372@example.com,user_372,956.31,S004,Pending,2024-08-09 19:00:00
U1427,2024-05-22,South,Electronics,247.22,30,Free,Franklin,,user_427,503.15,S001,Inactive,2024-07-14 19:00:00
U1394,01/24/2025,East,Groceries,395.83,56,Free,Franklin,user394@example.com,user_394,417.58,S017,,2024-04-20 18:00:00
U1001,2024-11-23,West,Books,115.49,63,Premium,Riverside,user1@example.com,user_1,240.33,S020,Active,2024-10-14 06:00:00
U1335,05/18/2024,East,Books,105.4,29,Premium,Franklin,user335@example.com,user_335,495.04,S011,,2024-05-06 13:00:00
U1486,2024-07-28,West,Groceries,24.94,25,Premium,Madison,user486@example.com,user_486,37.7,S005,Inactive,2024-10-28 13:00:00
U1316,10/08/2024,North,Books,499.22,44,Basic,Madison,user316@example.com,user_316,418.22,S014,Pending,2024-11-07 07:00:00
U1009,2024-11-23,East,Groceries,271.99,65,Free,Springfield,user9@example.com,user_9,369.35,S010,Inactive,2024-01-30 07:00:00
U1024,06/28/2024,East,Clothing,,28,Basic,Madison,user24@example.com,user_24,357.63,S017,,2024-12-13 17:00:00
U1074,04/26/2024,North,Home & Kitchen,366.16,36,Basic,Madison,user74@example.com,user_74,923.76,S003,Active,2024-02-13 02:00:00
U1086,09/16/2024,South,Sports,396.95,18,Basic,Greenville,user86@example.com,user_86,71.25,S004,Pending,2024-12-31 02:00:00
U1417,09/22/2024,North,Home & Kitchen,460.85,26,Premium,Greenville,user417@example.com,user_417,898.09,S020,Active,2024-08-01 14:00:00
U1405,2024-05-27,East,Groceries,478.33,55,Premium,Clinton,user405@example.com,user_405,905.66,S005,Inactive,2024-05-01 03:00:00
U1187,07/05/2024,East,Clothing,429.46,51,Free,Georgetown,user187@example.com,user_187,326.74,S003,Pending,2024-03-02 16:00:00
